|                                                      filename |                author | commits |  last date |
|                            scipy/interpolate/fitpack/fpcoco.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcons.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcosp.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcsin.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcurf.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcuro.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcyt1.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpcyt2.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpdeno.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpdisc.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpfrno.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpgivs.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpgrpa.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpgrre.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpinst.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpintb.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpopdi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fporde.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fppara.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fppasu.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fpperi.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fppocu.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fppogr.f |        Jarrod Millman |       1 | 2007-08-21 |
|                            scipy/interpolate/fitpack/fprank.f |        Jarrod Millman |       1 | 2007-08-21 |
